,potencia,preco,modulo,qtd_modulo,inversor,qtd_inversor,estrutura,data
0,"0,565 kWp","R$ 3.200,00",IMO00070 - PAINEL JINKO JKM565N-72HL4-V,1,IIN00126 - ENPHASE IQ7AM-72-2-US - 335W - 220V,1,"IEF00169 - PARAFUSO MARTELO M8X25
Quantidade: 1
arrow_forward_ios
IEF00167 - PORCA SEXT FLANG M8
Quantidade: 1
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 4
arrow_forward_ios
IEF00143 - PERFIL SUPORTE SMART 2,10M
Quantidade: 2
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 4
arrow_forward_ios",2023-05-09
1,"1,695 kWp","R$ 5.900,00",IMO00070 - PAINEL JINKO JKM565N-72HL4-V,3,IIN00084 - GROWATT MIC1500TL-X - 220V - 1MPPT,1,"IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 4
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 4
arrow_forward_ios
IEF00143 - PERFIL SUPORTE SMART 2,10M
Quantidade: 4
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 2
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 6
arrow_forward_ios",2023-05-09
2,"2,75 kWp","R$ 8.200,00",IMO00068 - PAINEL JA SOLAR JAM72S30-550/MR,5,IIN00085 - GROWATT MIC2000TL-X - 220V - 1MPPT,1,"IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 8
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 4
arrow_forward_ios
IEF00143 - PERFIL SUPORTE SMART 2,10M
Quantidade: 6
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 4
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 10
arrow_forward_ios",2023-05-09
3,"3,955 kWp","R$ 11.000,00",IMO00070 - PAINEL JINKO JKM565N-72HL4-V,7,IIN00078 - GROWATT MIC3000TL-X -220V - 1MPPT,1,"IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 12
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 4
arrow_forward_ios
IEF00143 - PERFIL SUPORTE SMART 2,10M
Quantidade: 8
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 6
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 12
arrow_forward_ios",2023-05-09
4,"4,4 kWp","R$ 11.500,00",IMO00068 - PAINEL JA SOLAR JAM72S30-550/MR,8,IIN00193 - FOXESS S3000-G2 - 220V - 1MPPT,1,"IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 14
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 4
arrow_forward_ios
IEF00143 - PERFIL SUPORTE SMART 2,10M
Quantidade: 9
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 8
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 14
arrow_forward_ios",2023-05-09
5,"3,955 kWp","R$ 11.900,00",IMO00070 - PAINEL JINKO JKM565N-72HL4-V,7,IIN00066 - GROWATT MIN3000TL-X - 220V - 2MPPT,1,"IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 10
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 8
arrow_forward_ios
IEF00143 - PERFIL SUPORTE SMART 2,10M
Quantidade: 9
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 6
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 14
arrow_forward_ios",2023-05-09
6,"4,4 kWp","R$ 12.300,00",IMO00068 - PAINEL JA SOLAR JAM72S30-550/MR,8,IIN00130 - SUNGROW SG3.0RS-S - 220V - 1MPPT,1,"IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 14
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 4
arrow_forward_ios
IEF00143 - PERFIL SUPORTE SMART 2,10M
Quantidade: 9
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 8
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 14
arrow_forward_ios",2023-05-09
7,"3,955 kWp","R$ 12.400,00",IMO00070 - PAINEL JINKO JKM565N-72HL4-V,7,IIN00027 - SUNGROW SG3K-D - 220V - 2MPPT,1,"IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 10
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 8
arrow_forward_ios
IEF00143 - PERFIL SUPORTE SMART 2,10M
Quantidade: 9
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 6
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 14
arrow_forward_ios",2023-05-09
8,"5,085 kWp","R$ 15.600,00",IMO00070 - PAINEL JINKO JKM565N-72HL4-V,9,IIN00029 - SUNGROW SG4K-D - 220V - 2MPPT,1,"IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 14
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 8
arrow_forward_ios
IEF00127 - PERFIL SUPORTE SMART 4,20M
Quantidade: 6
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 4
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 18
arrow_forward_ios",2023-05-09
9,"4,4 kWp","R$ 16.000,00",IMO00068 - PAINEL JA SOLAR JAM72S30-550/MR,8,IIN00001 - FRONIUS PRIMO 3.0-1 - 220V - 2MPPT,1,"IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 12
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 8
arrow_forward_ios
IEF00143 - PERFIL SUPORTE SMART 2,10M
Quantidade: 10
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 8
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 16
arrow_forward_ios",2023-05-09
10,"7,345 kWp","R$ 18.800,00",IMO00070 - PAINEL JINKO JKM565N-72HL4-V,13,IIN00184 - FOXESS F5000 - 220V - 2MPPT,1,"IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 22
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 8
arrow_forward_ios
IEF00127 - PERFIL SUPORTE SMART 4,20M
Quantidade: 8
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 4
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 22
arrow_forward_ios",2023-05-09
11,"7,345 kWp","R$ 19.600,00",IMO00070 - PAINEL JINKO JKM565N-72HL4-V,13,IIN00068 - GROWATT MIN5000TL-X - 220V - 2MPPT,1,"IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 22
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 8
arrow_forward_ios
IEF00127 - PERFIL SUPORTE SMART 4,20M
Quantidade: 8
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 4
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 22
arrow_forward_ios",2023-05-09
12,"7,345 kWp","R$ 19.700,00",IMO00070 - PAINEL JINKO JKM565N-72HL4-V,13,IIN00133 - SUNGROW SG5.0RS - 220V - 2MPPT,1,"IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 22
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 8
arrow_forward_ios
IEF00127 - PERFIL SUPORTE SMART 4,20M
Quantidade: 8
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 4
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 22
arrow_forward_ios",2023-05-09
13,"5,94 kWp","R$ 19.800,00",IMO00069 - PAINEL JA JAM72D30-540/MB BF,11,IIN00002 - FRONIUS PRIMO 4.0-1 - 220V - 2MPPT,1,"IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 18
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 8
arrow_forward_ios
IEF00127 - PERFIL SUPORTE SMART 4,20M
Quantidade: 7
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 4
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 20
arrow_forward_ios",2023-05-09
14,"8,8 kWp","R$ 22.000,00",IMO00068 - PAINEL JA SOLAR JAM72S30-550/MR,16,IIN00188 - FOXESS F6000 - 220V - 2MPPT,1,"IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 28
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 8
arrow_forward_ios
IEF00127 - PERFIL SUPORTE SMART 4,20M
Quantidade: 9
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 8
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 28
arrow_forward_ios",2023-05-09
15,"8,8 kWp","R$ 22.700,00",IMO00068 - PAINEL JA SOLAR JAM72S30-550/MR,16,IIN00065 - GROWATT MIN6000TL-X - 220V - 2MPPT,1,"IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 28
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 8
arrow_forward_ios
IEF00127 - PERFIL SUPORTE SMART 4,20M
Quantidade: 9
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 8
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 28
arrow_forward_ios",2023-05-09
16,"7,345 kWp","R$ 23.300,00",IMO00070 - PAINEL JINKO JKM565N-72HL4-V,13,IIN00003 - FRONIUS PRIMO 5.0-1 - 220V - 2MPPT,1,"IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 22
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 8
arrow_forward_ios
IEF00127 - PERFIL SUPORTE SMART 4,20M
Quantidade: 8
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 4
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 22
arrow_forward_ios",2023-05-09
17,"8,8 kWp","R$ 23.500,00",IMO00068 - PAINEL JA SOLAR JAM72S30-550/MR,16,IIN00134 - SUNGROW SG6.0RS - 220V - 2MPPT,1,"IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 28
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 8
arrow_forward_ios
IEF00127 - PERFIL SUPORTE SMART 4,20M
Quantidade: 9
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 8
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 28
arrow_forward_ios",2023-05-09
18,"8,8 kWp","R$ 27.800,00",IMO00068 - PAINEL JA SOLAR JAM72S30-550/MR,16,IIN00004 - FRONIUS PRIMO 6.0-1 - 220V - 2MPPT,1,"IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 28
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 8
arrow_forward_ios
IEF00127 - PERFIL SUPORTE SMART 4,20M
Quantidade: 9
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 8
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 28
arrow_forward_ios",2023-05-09
19,11 kWp,"R$ 28.000,00",IMO00068 - PAINEL JA SOLAR JAM72S30-550/MR,20,IIN00067 - GROWATT MIN8000TL- X (E) - 220V - 2MPPT,1,"IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 36
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 8
arrow_forward_ios
IEF00127 - PERFIL SUPORTE SMART 4,20M
Quantidade: 12
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 8
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 36
arrow_forward_ios",2023-05-09
20,"11,865 kWp","R$ 30.600,00",IMO00070 - PAINEL JINKO JKM565N-72HL4-V,21,IIN00185 - FOXESS G8000 - 220V - 3MPPT,1,"IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 36
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 12
arrow_forward_ios
IEF00127 - PERFIL SUPORTE SMART 4,20M
Quantidade: 12
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 6
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 36
arrow_forward_ios",2023-05-09
21,"11,865 kWp","R$ 30.700,00",IMO00070 - PAINEL JINKO JKM565N-72HL4-V,21,IIN00135 - SUNGROW SG8.0RS - 220V - 3MPPT,1,"IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 36
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 12
arrow_forward_ios
IEF00127 - PERFIL SUPORTE SMART 4,20M
Quantidade: 12
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 6
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 36
arrow_forward_ios",2023-05-09
22,"13,5 kWp","R$ 34.700,00",IMO00069 - PAINEL JA JAM72D30-540/MB BF,25,IIN00136 - SUNGROW SG9.0RS - 220V - 3MPPT,1,"IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 44
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 12
arrow_forward_ios
IEF00127 - PERFIL SUPORTE SMART 4,20M
Quantidade: 14
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 12
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 44
arrow_forward_ios",2023-05-09
23,"13,5 kWp","R$ 34.800,00",IMO00069 - PAINEL JA JAM72D30-540/MB BF,25,IIN00187 - FOXESS G10500 - 220V - 3MPPT,1,"IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 44
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 12
arrow_forward_ios
IEF00127 - PERFIL SUPORTE SMART 4,20M
Quantidade: 14
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 12
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 44
arrow_forward_ios",2023-05-09
24,"13,5 kWp","R$ 35.800,00",IMO00069 - PAINEL JA JAM72D30-540/MB BF,25,IIN00096 - GOODWE GW8500-MS - 220V - 3MPPT,1,"IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 44
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 12
arrow_forward_ios
IEF00127 - PERFIL SUPORTE SMART 4,20M
Quantidade: 14
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 12
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 44
arrow_forward_ios",2023-05-09
25,"13,5 kWp","R$ 36.500,00",IMO00069 - PAINEL JA JAM72D30-540/MB BF,25,IIN00097 - GOODWE GW10K-MS - 220V - 3MPPT,1,"IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 44
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 12
arrow_forward_ios
IEF00127 - PERFIL SUPORTE SMART 4,20M
Quantidade: 14
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 12
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 44
arrow_forward_ios",2023-05-09
26,"14,85 kWp","R$ 37.500,00",IMO00068 - PAINEL JA SOLAR JAM72S30-550/MR,27,IIN00088 - GROWATT MIN10000TL - X - 220V - 3MPPT,1,"IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 48
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 12
arrow_forward_ios
IEF00127 - PERFIL SUPORTE SMART 4,20M
Quantidade: 15
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 12
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 48
arrow_forward_ios",2023-05-09
27,"14,85 kWp","R$ 38.500,00",IMO00068 - PAINEL JA SOLAR JAM72S30-550/MR,27,IIN00137 - SUNGROW SG10RS - 220V - 3MPPT,1,"IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 48
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 12
arrow_forward_ios
IEF00127 - PERFIL SUPORTE SMART 4,20M
Quantidade: 15
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 12
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 48
arrow_forward_ios",2023-05-09
28,"17,82 kWp","R$ 44.000,00",IMO00069 - PAINEL JA JAM72D30-540/MB BF,33,IIN00189 - FOXESS T12-G3 - 380V - 2MPPT,1,"IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 62
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 8
arrow_forward_ios
IEF00127 - PERFIL SUPORTE SMART 4,20M
Quantidade: 19
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 16
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 54
arrow_forward_ios",2023-05-09
29,"14,69 kWp","R$ 44.000,00",IMO00070 - PAINEL JINKO JKM565N-72HL4-V,26,IIN00014 - FRONIUS SYMO 10.0-3 - 220V - 2MPPT,1,"IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 44
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 16
arrow_forward_ios
IEF00127 - PERFIL SUPORTE SMART 4,20M
Quantidade: 15
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 8
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 44
arrow_forward_ios",2023-05-09
30,"16,95 kWp","R$ 45.300,00",IMO00070 - PAINEL JINKO JKM565N-72HL4-V,30,IIN00038 - SUNGROW SG12KTL-M - 380V - 2MPPT,1,"IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 56
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 8
arrow_forward_ios
IEF00127 - PERFIL SUPORTE SMART 4,20M
Quantidade: 17
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 16
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 48
arrow_forward_ios",2023-05-09
